Time,0.3,0.5,1.0,2.5,5.0,10,Temperature,Pressure,Humidity
1772238445.559886,108,24,3,0,0,0,28.220625,612.4468983442713,100
1772238446.5712326,108,27,6,0,0,0,20.7813671875,1003.3923078297106,45.708471461173914
1772238447.5824316,108,27,6,0,0,0,20.817890625,1003.3856439935315,45.55994424002413
1772238448.5936217,108,27,6,0,0,0,20.85265625,1003.36923403902,45.37607786269897
1772238449.6049788,114,27,6,0,0,0,20.878046875,1003.3523796207635,45.17367133594449
1772238450.6176107,114,27,6,0,0,0,20.8969921875,1003.3349026331082,44.96486252792815
1772238451.6300108,114,27,6,0,0,0,20.9075390625,1003.3135304545697,44.81383509818541
1772238452.641243,126,25,6,0,0,0,20.9130078125,1003.2921336774872,44.63309172327118
1772238453.6524055,126,25,6,0,0,0,20.91515625,1003.2583772533887,44.48135779975905
1772238454.6635811,126,25,6,0,0,0,20.9173046875,1003.2331112131757,44.32391958438457
1772238455.674776,135,28,6,0,0,0,20.918671875,1003.1980446768026,44.15486953882022
1772238456.6855724,135,28,6,0,0,0,20.9204296875,1003.1449535425038,43.99185828393061
1772238457.697441,135,28,6,0,0,0,20.922578125,1003.1128944821019,43.84651118342032
1772238458.7080903,132,28,7,0,0,0,20.92609375,1003.0831269787428,43.71307978198159
1772238459.7193213,132,28,7,0,0,0,20.9286328125,1003.0500240833708,43.585451133678156
1772238460.7305295,132,28,7,0,0,0,20.9266796875,1003.0093914221502,43.410939340286895
1772238461.7414455,138,30,7,0,0,0,20.9266796875,1002.9788251331956,43.26583883550284
1772238462.7527697,138,30,7,0,0,0,20.9274609375,1002.9580589159758,43.15573577646648
1772238463.765243,138,30,7,0,0,0,20.92921875,1002.9474200509835,43.05161062691509
1772238464.7763417,177,32,7,0,0,0,20.93234375,1002.9322799879695,43.18528923942958
1772238465.7874959,177,32,7,0,0,0,20.942109375,1002.9282692597534,43.20381148422427
1772238466.7986705,177,32,7,0,0,0,20.955390625,1002.9284518125314,43.07200163233343
1772238467.8097913,186,32,7,0,0,0,20.97609375,1002.9342791209483,42.91797963161489
1772238468.8211021,186,32,7,0,0,0,21.004609375,1002.9226279500118,42.85756726667117
1772238469.8330257,186,32,7,0,0,0,21.0356640625,1002.9016398108689,42.75696350155175
1772238470.8456252,180,31,6,0,0,0,21.0673046875,1002.8918181500054,42.662260382395324
1772238471.8575015,180,31,6,0,0,0,21.1008984375,1002.8852637542266,42.52160036230714
1772238472.869642,180,31,6,0,0,0,21.137421875,1002.8955031341745,42.48532110614497
1772238473.8816319,171,28,6,0,0,0,21.1762890625,1002.9079659118079,42.22998965668538
1772238474.8942225,171,28,6,0,0,0,21.2133984375,1002.9191771933554,42.14769326173471
1772238475.9067628,171,28,6,0,0,0,21.2489453125,1002.9277658109639,42.071015796389474
1772238476.9178915,162,25,4,0,0,0,21.2856640625,1002.9383130284351,41.98873828306938
1772238477.9290159,162,25,4,0,0,0,21.32296875,1002.9498370435894,42.01023474412746
1772238478.9401455,162,25,4,0,0,0,21.3565625,1002.9670341734278,42.08318870260178
1772238479.9513109,180,32,4,0,0,0,21.391328125,1002.9674985311359,42.06406643420284
1772238480.9627137,180,32,4,0,0,0,21.4258984375,1002.9744280718228,42.00458284009406
1772238481.9752157,180,32,4,0,0,0,21.4598828125,1002.9752729938591,41.92200895461943
1772238482.9868577,168,35,4,0,0,0,21.494453125,1002.975394706102,41.83377767957394
1772238483.9980562,168,35,4,0,0,0,21.5282421875,1002.9725028683173,41.73974308563855
1772238485.0092826,168,35,4,0,0,0,21.56125,1002.9733964763453,41.639914479964354
1772238486.0204058,159,32,4,0,0,0,21.59484375,1002.978666380803,41.56894290639206
1772238487.0318072,159,32,4,0,0,0,21.620625,1002.9776474268666,41.48562716391592
1772238488.044295,159,32,4,0,0,0,21.64171875,1002.9806750746416,41.38459408557772
1772238489.0554872,147,32,4,1,0,0,21.6641796875,1002.9740902655907,41.22064982215008
1772238490.066719,147,32,4,1,0,0,21.6899609375,1002.9747631643618,41.2120523763731
1772238491.0774493,147,32,4,1,0,0,21.7122265625,1002.9678457709114,41.14570440853706
1772238492.0885792,162,32,4,1,0,0,21.7344921875,1002.9745274963946,41.090844907127135
1772238493.0995119,162,32,4,1,0,0,21.7575390625,1002.9757145443557,41.036087248307176
1772238494.1119606,162,32,4,1,0,0,21.7813671875,1002.9765071377158,40.98143119524079
1772238495.122396,129,32,4,1,0,0,21.807734375,1002.9815487172418,40.91561599217459
